ambient,coolant,motor_speed,torque,stator_yoke,stator_tooth,stator_winding,profile_id
-0.6966409,-1.0913498,2.0241187,-0.26383623,-0.81085306,-0.45360819,-0.32834995,4
-0.5898525,-1.0812767,2.0241182,-0.26337972,-0.8114978,-0.45360819,-0.33539355,4
-0.69199955,-1.0941433,2.0241175,-0.26381865,-0.8119189,-0.45360819,-0.32879168,4
-0.8946074,-1.0827037,2.0241196,-0.26442558,-0.8119065,-0.45360819,-0.32639056,4
-0.60714704,-1.0876155,2.0241175,-0.26323554,-0.8114949,-0.45360819,-0.32673562,4
-0.42297098,-1.0901787,2.024118,-0.26283193,-0.8116866,-0.45360819,-0.33364516,4
-0.7388624,-1.075325,2.0241158,-0.2625487,-0.8116746,-0.45360819,-0.3306901,4
-0.7630165,-1.089867,2.0241196,-0.26275685,-0.8117175,-0.45360819,-0.325501,4
-0.849479,-1.0749146,2.0241168,-0.2631377,-0.8115348,-0.45360819,-0.32483897,4
-0.5472275,-1.0792264,2.02412,-0.26291102,-0.81150925,-0.45360819,-0.3273368,4
-0.63470185,-1.0825512,2.0241196,-0.2628531,-0.80821556,-0.45360819,-0.3268994,4
-0.4443959,-1.0645275,2.0241184,-0.26342446,-0.80880314,-0.45360819,-0.33037177,4
-0.5609748,-1.0798905,2.0241196,-0.26290542,-0.80941147,-0.45360819,-0.326583,4
-0.39885902,-1.0638858,2.0241177,-0.263293,-0.8045216,-0.45360819,-0.3234118,4
-0.5615098,-1.065432,2.0241342,0.1537309,-0.80319947,-0.45360819,-0.30997166,4
-0.5610129,-1.0692936,2.024116,0.28678757,-0.8010619,-0.44710428,-0.23726545,4
-0.6915037,-1.0464623,2.024118,0.28312492,-0.7870833,-0.39675778,-0.114509925,4
-0.83858037,-1.0655818,2.0241203,0.285044,-0.762021,-0.3216131,-0.04206961,4
-0.72863823,-1.0499994,2.0241148,0.28516743,-0.7387149,-0.28204304,0.016399661,4
-0.63626266,-1.0471056,2.024118,0.28615698,-0.73472744,-0.22466192,0.056790367,4
-0.6520104,-1.0561216,2.0241196,0.2847917,-0.73472506,-0.1802711,0.14785148,4
-0.122841366,-1.0378191,2.024118,0.28621882,-0.71730673,-0.14185941,0.1962426,4
-0.39899254,-1.0469483,2.0241175,0.28626958,-0.6199335,-0.10822094,0.2684683,4
-0.67065495,-1.0380633,2.0241191,0.28482777,-0.57949525,-0.07109482,0.27622855,4
-0.6024465,-1.0409056,2.0241163,0.28568003,-0.5633799,-0.030056808,0.3189659,4
-0.1881269,-1.0521988,2.024119,0.28664815,-0.55002046,0.000296395,0.35886985,4
-0.55072457,-1.0390048,2.0241168,0.28606802,-0.5250744,0.033178214,0.38981932,4
-0.47915158,-1.0634227,2.0241215,0.28608724,-0.48363397,0.062492535,0.41640192,4
-0.15007596,-1.052447,2.0241184,0.28446397,-0.4788114,0.082690194,0.44005698,4
-0.13060232,-1.0594639,2.0241187,0.28590354,-0.4727597,0.10771055,0.46135554,4
-0.48647186,-1.0764027,2.0241187,0.2863397,-0.4616405,0.1243859,0.48167244,4
-0.2782481,-1.061655,2.0241199,0.28501412,-0.44113553,0.14491956,0.50857973,4
-0.29340565,-1.0875825,2.0241168,0.28572527,-0.43608958,0.15508617,0.514327,4
-0.29460815,-1.0775583,2.0241208,0.28615698,-0.4243686,0.15590428,0.5219156,4
-0.5529619,-1.079605,2.024119,0.2858607,-0.41870445,0.15590642,0.5395179,4
-0.8435851,-1.0921794,2.0241203,0.2844668,-0.4080347,0.16441682,0.55623084,4
-0.13685164,-1.0725987,2.0241165,0.28527617,-0.4035508,0.19995497,0.56381536,4
-0.46440756,-1.0927494,2.0241191,0.284707,-0.40013248,0.22121063,0.57796824,4
-0.6138972,-1.086346,2.0241156,0.28423452,-0.39849222,0.22976033,0.5836699,4
-0.07410657,-1.077802,2.0241177,0.28556934,-0.3976077,0.2320696,0.600204,4
-0.49666488,-1.0913819,2.0241158,0.2859057,-0.39775378,0.23618405,0.60824305,4
-0.6673326,-1.0697763,2.0241184,0.2879843,-0.39753586,0.25212777,0.61074275,4
-0.7657748,-1.0807856,2.02412,0.28779146,-0.39753547,0.26180065,0.62181675,4
-0.6378305,-1.0756705,2.024119,0.28634447,-0.39753547,0.27272785,0.63230264,4
-0.19245306,-1.0600027,2.0241182,0.2868175,-0.39753547,0.2848347,0.64664865,4
-0.54316735,-1.0761169,2.024122,0.2873571,-0.39753547,0.3021356,0.6444254,4
-0.61594486,-1.0475008,2.024116,0.2869977,-0.39753547,0.30958462,0.6484963,4
-0.48681113,-1.0622324,2.024118,0.2869717,-0.39753547,0.31037056,0.64586127,4
-0.5661772,-1.0559261,2.0241206,0.2873947,-0.39753547,0.3113573,0.6591327,4
-0.53758955,-1.0407689,2.0241165,0.28707924,-0.39753547,0.31305817,0.6560135,4
-0.5998147,-1.0562892,2.0241199,0.28886247,-0.39753526,0.31642202,0.6668433,4
-0.80019116,-1.0362556,2.0241182,0.28700238,-0.39714783,0.31955796,0.66655225,4
-0.76222754,-1.0394976,2.024119,0.28880006,-0.39628085,0.32163894,0.6766897,4
-0.6522533,-1.035974,2.0241134,0.28713876,-0.39118883,0.32554653,0.6810545,4
-0.521901,-1.0287637,2.0241163,0.287423,-0.3886625,0.33191702,0.68666905,4
-0.68760216,-1.038323,2.0241196,0.28806964,-0.35297215,0.34013483,0.6849535,4
-0.3322927,-1.0284415,2.0241156,0.28671455,-0.29909155,0.3419954,0.7030684,4
-0.45070344,-1.0386144,2.0241184,0.28692877,-0.29089046,0.35400257,0.69367737,4
-0.9426496,-1.0416051,2.024118,0.28786597,-0.28343824,0.35819417,0.7037308,4
-0.20349826,-1.040449,2.0241199,0.2882767,-0.27808338,0.3683608,0.7026955,4
-0.23349415,-1.0660336,2.0241196,0.28742123,-0.2814462,0.3754983,0.71923274,4
0.041080132,-1.0479227,2.0241163,0.2875523,-0.275258,0.38469818,0.7069569,4
-0.060499806,-1.0723222,2.0241187,0.2890134,-0.26866806,0.385721,0.7117629,4
-0.050908025,-1.0762763,2.0241168,0.28944576,-0.27450758,0.38363537,0.7133123,4
-0.26955268,-1.0699475,2.024123,0.28792015,-0.27292344,0.38770267,0.7199498,4
-0.19964689,-1.0924236,2.024118,0.2882692,-0.2720147,0.38753584,0.72417814,4
-0.5807034,-1.0801013,2.0241208,0.28836977,-0.27336815,0.3875994,0.7200416,4
-0.68877554,-1.0889289,2.0241203,0.2887158,-0.27690557,0.38782093,0.7218303,4
-0.38200417,-1.0928184,2.02412,0.288845,-0.27769184,0.3880703,0.71207947,4
-0.9052983,-1.0794237,2.024121,0.2899363,-0.27761346,0.38762444,0.7251261,4
-0.59958184,-1.0944338,2.024119,0.2900916,-0.27858815,0.38762516,0.72249395,4
-0.21695244,-1.0815,2.0241187,0.28868178,-0.27880174,0.38795382,0.7224039,4
-0.19199334,-1.0806341,2.0241196,0.2886887,-0.28258878,0.387872,0.7231314,4
-0.24592051,-1.0865979,2.0241234,0.28927773,-0.27927065,0.38813922,0.7165259,4
-0.2536132,-1.0630696,2.0241215,0.28965917,-0.27538282,0.38828498,0.7300532,4
-0.2692937,-1.0753446,2.0241175,0.2883648,-0.2770424,0.3886626,0.7298714,4
-0.3475185,-1.0601903,2.0241172,0.28854707,-0.27037248,0.38815495,0.726661,4
-0.056263,-1.0536454,2.0241237,0.28843725,-0.27011007,0.391218,0.7314859,4
-0.2671256,-1.0620859,2.0241153,0.28888857,-0.26637086,0.38925314,0.7294404,4
-0.582459,-1.0391694,2.0241187,0.28983104,-0.26208302,0.39006874,0.71369225,4
-0.09000387,-1.0544808,2.024123,0.28914586,-0.23976552,0.39221972,0.7275192,4
-0.12138895,-1.0366693,2.0241203,0.2884101,-0.23848908,0.39240837,0.7337384,4
-0.22041637,-1.0347922,2.024111,0.4246844,-0.23003364,0.40439695,0.77676046,4
-0.17862044,-1.0370942,2.0241165,0.42712823,-0.2266982,0.45267892,0.88173884,4
-0.59269315,-1.0257242,2.0241237,0.42929795,-0.22070965,0.46185312,0.94878477,4
0.19269873,-1.0375141,2.0241163,0.43082777,-0.20474471,0.48359463,1.0028139,4
-0.22922422,-1.0319574,2.0241227,0.43277636,-0.1728989,0.61153936,1.0350782,4
-0.3056172,-1.0347822,2.0241275,0.42601976,-0.14296757,0.6235519,1.1053563,4
-0.38224605,-1.0444051,2.0241168,0.42382094,-0.1295951,0.6784891,1.1435493,4
0.25934133,-1.0362537,2.0241084,0.42403316,-0.06341887,0.75458795,1.1943612,4
0.09683813,-1.0633214,2.024115,0.4286814,-0.05772365,0.7701994,1.224534,4
-0.25999904,-1.0518999,2.024125,0.43070465,-0.05728563,0.7710479,1.2547095,4
-0.3799485,-1.0562426,2.0241213,0.42710936,-0.04876799,0.78971744,1.2615674,4
-0.24622063,-1.0778052,2.0241232,0.42851454,-0.039433964,0.815095,1.261606,4
-0.36934093,-1.059071,2.0241232,0.43052843,-0.023837356,0.8414254,1.261606,4
-0.124547735,-1.0871009,2.0241244,0.42540675,-0.013360936,0.8469435,1.261606,4
-0.022963779,-1.0794564,2.0241222,0.43155736,0.008798666,0.88124806,1.261606,4
-0.1548297,-1.0751861,2.024121,0.42503363,0.018651426,0.89565206,1.2673498,4
-0.33538726,-1.0923533,2.0241122,0.42885178,0.021691963,0.9216245,1.3342636,4
0.40418366,-1.0722396,2.0241213,0.427888,0.026189085,0.9284322,1.4059882,4
0.08501503,-1.0891458,2.0241203,0.43365029,0.031927224,0.93595517,1.444208,4
-0.11582018,-1.0836699,2.024119,0.42820483,0.05828846,0.95436066,1.4522294,4
-0.15117607,-1.0663794,2.024126,0.4286583,0.070632115,0.96354234,1.4719297,4
-0.30811954,-1.0848274,2.024124,0.43153363,0.089826584,0.98596585,1.4740103,4
-0.2465097,-1.052847,2.0241203,0.4281937,0.10161765,0.9934081,1.4818374,4
-0.002374974,-1.0617242,2.024125,0.4278328,0.109999254,0.9999011,1.4861511,4
0.18975575,-1.0584512,2.0241249,0.42547232,0.11151883,1.0059265,1.5067474,4
-0.061595894,-1.0398821,2.024116,0.43011886,0.113789834,1.0134555,1.5088776,4
-0.18395133,-1.0514988,2.0241177,0.4319059,0.11738415,1.0228852,1.5282301,4
-0.13960089,-1.0311161,2.024114,0.4282257,0.12203817,1.0406523,1.5317605,4
0.36370465,-1.0362012,2.0241182,0.42935213,0.13036425,1.0410138,1.5439808,4
0.1309815,-1.0330243,2.0241191,0.43162954,0.13872835,1.0488125,1.5399067,4
-0.19122246,-1.0167705,2.0241206,0.4309905,0.1494154,1.0556989,1.5546352,4
-0.16199543,-1.0339193,2.0241182,0.43235144,0.1529042,1.0633866,1.5525467,4
-0.1202226,-1.0148085,2.0241206,0.4286586,0.16121395,1.0709649,1.5647862,4
-0.100041315,-1.0307943,2.02412,0.4305081,0.18006824,1.0765676,1.5868137,4
-0.079406336,-1.0290449,-0.1396194,-0.25785446,0.18655269,1.0612996,1.468407,4
-0.13627146,-1.0275694,-0.14024551,-0.2596203,0.14630066,0.938198,1.1736726,4
-0.23707551,-1.0471922,-0.14024822,-0.2595744,0.11126055,0.7802982,0.9182846,4
-0.19831191,-1.0387474,-0.14024769,-0.25960165,0.024992753,0.6235562,0.7087602,4
-0.2232118,-1.063988,-0.14024372,-0.2597478,-0.045306563,0.45643434,0.51196265,4
-0.4322747,-1.0726564,-0.14025007,-0.25979656,-0.116056696,0.32090837,0.34107852,4
-0.3261277,-1.0712407,-0.14024538,-0.25972515,-0.2049906,0.16201217,0.21153598,4
-0.64604115,-1.093645,-0.14024498,-0.25977758,-0.27459046,0.078085065,0.022534665,4
-0.60119885,-1.0872872,-0.14025007,-0.25974017,-0.39752603,-0.04817474,-0.054434586,4
-0.7469526,-1.0942016,-0.14024524,-0.2597497,-0.4239975,-0.15362598,-0.1775851,4
-0.43287393,-1.0982472,-0.14024782,-0.25983924,-0.47889784,-0.23963265,-0.28028047,4
-0.17984803,-1.0939722,-0.14024822,-0.25979125,-0.558015,-0.33379284,-0.37411663,4
-0.36995322,-1.1085951,-0.14024663,-0.26031694,-0.61509997,-0.42606673,-0.46983954,4
-0.2384416,-1.0987438,-0.14024861,-0.26043665,-0.7345739,-0.46423924,-0.54153883,4
-0.7061323,-1.0972589,-0.14024518,-0.2604204,-0.73493654,-0.5752091,-0.6238003,4
-0.7228466,-1.1039213,-0.1402465,-0.26082814,-0.7695055,-0.6272656,-0.70270103,4
-0.64304096,-1.0914236,-0.14024855,-0.2608498,-0.81505257,-0.7616321,-0.75114584,4
-0.71065515,-1.095143,-0.14024544,-0.26097593,-0.86232823,-0.7621178,-0.8277412,4
-0.7041499,-1.0923457,-0.14024907,-0.26097953,-0.8985552,-0.79822254,-0.87524915,4
-0.60876507,-1.0849983,-0.14024709,-0.26104087,-0.93592876,-0.83913356,-0.9765779,4
-0.8273465,-1.0902969,-0.14024736,-0.2612158,-0.9780876,-0.90181,-0.9838817,4
-0.19242796,-1.0744454,-0.14024921,-0.26130414,-0.99698263,-0.92694986,-1.0273025,4
-0.41475734,-1.0781002,-0.14024505,-0.26143682,-1.0295857,-0.99300146,-1.0674922,4
-0.69842356,-1.0764306,-0.14024742,-0.26142627,-1.0515932,-1.0678813,-1.0987355,4
-0.7475669,-1.0634711,-0.14024855,-0.2614242,-1.0756706,-1.0679032,-1.1391962,4
-0.40618137,-1.0738556,-0.14024544,-0.26134238,-1.1032962,-1.0769578,-1.2172097,4
-0.765022,-1.0589417,-0.14024875,-0.26140052,-1.1124836,-1.1001886,-1.2256485,4
-0.17618436,-1.061985,-0.14024769,-0.2613496,-1.1383861,-1.1337483,-1.229495,4
-0.34828237,-1.0620321,-0.14024577,-0.2610998,-1.1530877,-1.1417999,-1.2540884,4
-0.788092,-1.0464973,-0.14024921,-0.26108187,-1.1542574,-1.1725608,-1.2771231,4
-0.52725905,-1.0638398,-0.14024478,-0.26082593,-1.1871912,-1.2004886,-1.2888051,4
-0.59886116,-1.0474927,-0.14024557,-0.2614009,-1.2032409,-1.2172943,-1.3210946,4
-0.87502533,-1.0627683,-0.14024769,-0.26109594,-1.2178291,-1.2323092,-1.3440166,4
-0.64981323,-1.0624583,-0.14024657,-0.2611137,-1.2283092,-1.2478918,-1.350592,4
-0.71288246,-1.0499505,-0.14024775,-0.2610397,-1.2365581,-1.2673945,-1.3692682,4
-0.6152904,-1.0709094,-0.14024788,-0.26092544,-1.2404975,-1.2854388,-1.386608,4
-0.62326014,-1.0621011,-0.14024624,-0.26093674,-1.2574008,-1.2977613,-1.4112724,4
-0.6152844,-1.0717417,-0.14024709,-0.26072103,-1.2730386,-1.3109527,-1.4168117,4
-0.6408247,-1.0799563,-0.1402453,-0.26051554,-1.2783672,-1.3340777,-1.4308758,4
-0.62999123,-1.0697474,-0.14025013,-0.26049703,-1.2920167,-1.3379359,-1.4437149,4
-0.64495105,-1.0876817,-0.1402469,-0.26008102,-1.3159437,-1.3497617,-1.4505593,4
-0.32318074,-1.0781097,-0.14024617,-0.2599194,-1.3246154,-1.3587178,-1.4602336,4
-0.8309911,-1.0845112,-0.14024888,-0.25967136,-1.3262391,-1.3680831,-1.4736116,4
-0.7347842,-1.0905554,-0.14024603,-0.25953305,-1.3312886,-1.3819909,-1.4820354,4
-0.5992857,-1.0777595,-0.1402475,-0.25949377,-1.3434734,-1.389817,-1.4922562,4
-0.58966887,-1.0928757,-0.14024842,-0.25936103,-1.3679619,-1.4019016,-1.5015497,4
-0.6014458,-1.086424,-0.14024419,-0.25985065,-1.371835,-1.4085472,-1.5071316,4
-0.82168835,-1.0877597,-0.14024834,-0.25972593,-1.401561,-1.4179612,-1.5201828,4
-0.5779039,-1.0929234,-0.1402475,-0.25974396,-1.4090651,-1.4302121,-1.5283952,4
-0.7239829,-1.0826951,-0.1402463,-0.25960976,-1.4090164,-1.4401997,-1.5308893,4
-0.76248854,-1.0909312,-0.14024742,-0.25955188,-1.4091042,-1.4465345,-1.5335537,4
-0.6199789,-1.0877771,-0.14024676,-0.25943342,-1.4091041,-1.4474652,-1.5355368,4
-0.77135664,-1.0830748,-0.14024736,-0.25950047,-1.4091042,-1.4479533,-1.5369126,4
-0.75112814,-1.0902511,-0.1402475,-0.25949672,-1.4091042,-1.448674,-1.5578444,4
-0.5823917,-1.076606,-0.14024682,-0.2596107,-1.4093229,-1.4569664,-1.5640453,4
-0.3898404,-1.0843451,-0.14024802,-0.25941235,-1.4101143,-1.4660448,-1.5692658,4
-0.5947438,-1.082593,-0.1402463,-0.25929406,-1.4112087,-1.4833667,-1.5785266,4
-0.6341096,-1.0737746,-0.14024834,-0.25934583,-1.414087,-1.4917367,-1.5812904,4
-0.45365244,-1.0825316,-0.14024834,-0.25936323,-1.4137241,-1.4928387,-1.5860063,4
-0.6116418,-1.0700116,-0.14024624,-0.2591958,-1.4193996,-1.5011761,-1.5920645,4
-0.78715855,-1.0782994,-0.14024869,-0.259237,-1.4195508,-1.5063263,-1.5949312,4
-0.4811219,-1.0775723,-0.14024524,-0.25938988,-1.4193587,-1.5097038,-1.6001478,4
-0.54219675,-1.0684164,-0.14024597,-0.2596609,-1.423085,-1.5115106,-1.6053395,4
-0.59323114,-1.0775294,-0.14024855,-0.25958672,-1.4273878,-1.5166634,-1.6056917,4
-0.5329041,-1.0660261,-0.14024557,-0.2595946,-1.4279226,-1.5206504,-1.6077126,4
-0.59479696,-1.0703064,-0.1402465,-0.2595798,-1.4279886,-1.5241419,-1.6130569,4
-0.60138655,-1.072982,-0.14024782,-0.25959587,-1.4277118,-1.5238677,-1.615005,4
-0.6691423,-1.0634791,-0.1402459,-0.25944713,-1.4354763,-1.5250458,-1.616197,4
-0.7364283,-1.0711645,-0.14024663,-0.25945514,-1.4375116,-1.5283524,-1.6172303,4
-0.60341614,-1.0579151,-0.14024927,-0.25940332,-1.438889,-1.5314765,-1.6275629,4
-0.47873902,-1.0613059,-0.14024484,-0.25939292,-1.4392416,-1.5363271,-1.6278921,4
-0.77120304,-1.0591898,-0.1402475,-0.25924984,-1.4409745,-1.5394917,-1.6311556,4
-0.77350265,-1.0431682,-0.14024565,-0.25925297,-1.4413178,-1.543991,-1.635774,4
-0.692644,-1.0540855,-0.14024663,-0.25910148,-1.4396857,-1.5461038,-1.6370959,4
-0.7613934,-1.039703,-0.1402465,-0.25910214,-1.4421958,-1.5440729,-1.6372842,4
-0.82025903,-1.0425771,-0.14024511,-0.2590261,-1.442575,-1.5473851,-1.6344476,4
-0.6105829,-1.0491749,-0.14024465,-0.25927037,-1.4433842,-1.5541672,-1.6379993,4
-0.5539456,-1.0413384,-0.14024492,-0.25940543,-1.4443818,-1.5557556,-1.6396203,4
-0.78690463,-1.0617459,-0.14024557,-0.25930035,-1.4462397,-1.5558801,-1.6460705,4
